Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:332: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}$'.format(args.Lmax)) #L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:418: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(args.Lmax, args.zmin, args.zmax), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0$
0.0<z<=1.0
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:146: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
25it [00:08,  3.10it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.762 | loglstar:   -inf < -354.456 <    inf | logz: -361.310 +/-  0.114 | dlogz: 354.962 >  0.010]
26it [00:08,  3.10it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.943 | loglstar:   -inf < -353.046 <    inf | logz: -359.590 +/-  0.110 | dlogz: 352.118 >  0.010]
27it [00:08,  3.10it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  5.123 | loglstar:   -inf < -352.627 <    inf | logz: -358.612 +/-  0.105 | dlogz: 350.396 >  0.010]
28it [00:09,  3.10it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  5.303 | loglstar:   -inf < -348.383 <    inf | logz: -355.296 +/-  0.116 | dlogz: 349.416 >  0.010]
29it [00:09,  3.10it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  5.482 | loglstar:   -inf < -345.234 <    inf | logz: -352.115 +/-  0.115 | dlogz: 346.098 >  0.010]
30it [00:09,  3.10it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.660 | loglstar:   -inf < -343.601 <    inf | logz: -350.226 +/-  0.111 | dlogz: 342.915 >  0.010]
31it [00:10,  2.38it/s, bound: 0 | nc: 2 | ncall: 532 | eff(%):  5.827 | loglstar:   -inf < -341.938 <    inf | logz: -348.531 +/-  0.109 | dlogz: 341.025 >  0.010]
32it [00:10,  2.56it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  6.004 | loglstar:   -inf < -341.138 <    inf | logz: -347.365 +/-  0.106 | dlogz: 339.328 >  0.010]
33it [00:10,  2.70it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  6.180 | loglstar:   -inf < -336.285 <    inf | logz: -343.235 +/-  0.117 | dlogz: 338.160 >  0.010]
34it [00:11,  2.81it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  6.355 | loglstar:   -inf < -332.456 <    inf | logz: -339.388 +/-  0.116 | dlogz: 334.027 >  0.010]
35it [00:11,  2.89it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.530 | loglstar:   -inf < -330.665 <    inf | logz: -337.349 +/-  0.111 | dlogz: 330.178 >  0.010]
