Starting batch job

691it [08:12,  1.19it/s, bound: 0 | nc: 3 | ncall: 1990 | eff(%): 34.724 | loglstar:   -inf < 22.398 <    inf | logz: 17.296 +/-  0.098 | dlogz: 46.034 >  0.010]
692it [08:13,  1.02it/s, bound: 0 | nc: 4 | ncall: 1994 | eff(%): 34.704 | loglstar:   -inf < 22.438 <    inf | logz: 17.377 +/-  0.097 | dlogz: 45.948 >  0.010]
693it [08:14,  1.13it/s, bound: 0 | nc: 2 | ncall: 1996 | eff(%): 34.719 | loglstar:   -inf < 22.452 <    inf | logz: 17.453 +/-  0.097 | dlogz: 45.865 >  0.010]
694it [08:15,  1.09it/s, bound: 0 | nc: 3 | ncall: 1999 | eff(%): 34.717 | loglstar:   -inf < 22.488 <    inf | logz: 17.526 +/-  0.096 | dlogz: 45.786 >  0.010]
695it [08:15,  1.19it/s, bound: 0 | nc: 2 | ncall: 2001 | eff(%): 34.733 | loglstar:   -inf < 22.610 <    inf | logz: 17.599 +/-  0.096 | dlogz: 45.711 >  0.010]
696it [08:16,  1.13it/s, bound: 0 | nc: 3 | ncall: 2004 | eff(%): 34.731 | loglstar:   -inf < 22.611 <    inf | logz: 17.671 +/-  0.095 | dlogz: 45.636 >  0.010]
697it [08:17,  1.39it/s, bound: 0 | nc: 1 | ncall: 2005 | eff(%): 34.763 | loglstar:   -inf < 22.687 <    inf | logz: 17.741 +/-  0.095 | dlogz: 45.562 >  0.010]
698it [08:17,  1.66it/s, bound: 0 | nc: 1 | ncall: 2006 | eff(%): 34.796 | loglstar:   -inf < 22.694 <    inf | logz: 17.808 +/-  0.095 | dlogz: 45.491 >  0.010]
699it [08:18,  1.22it/s, bound: 0 | nc: 4 | ncall: 2010 | eff(%): 34.776 | loglstar:   -inf < 22.740 <    inf | logz: 17.873 +/-  0.094 | dlogz: 45.421 >  0.010]
700it [08:19,  1.30it/s, bound: 0 | nc: 2 | ncall: 2012 | eff(%): 34.791 | loglstar:   -inf < 22.779 <    inf | logz: 17.937 +/-  0.094 | dlogz: 45.354 >  0.010]
701it [08:21,  1.23s/it, bound: 0 | nc: 7 | ncall: 2019 | eff(%): 34.720 | loglstar:   -inf < 22.786 <    inf | logz: 17.998 +/-  0.093 | dlogz: 45.289 >  0.010]
702it [08:24,  1.74s/it, bound: 0 | nc: 9 | ncall: 2028 | eff(%): 34.615 | loglstar:   -inf < 22.839 <    inf | logz: 18.056 +/-  0.093 | dlogz: 45.226 >  0.010]
703it [08:24,  1.32s/it, bound: 0 | nc: 1 | ncall: 2029 | eff(%): 34.648 | loglstar:   -inf < 22.851 <    inf | logz: 18.114 +/-  0.093 | dlogz: 45.165 >  0.010]
704it [08:25,  1.02s/it, bound: 0 | nc: 1 | ncall: 2030 | eff(%): 34.680 | loglstar:   -inf < 22.858 <    inf | logz: 18.168 +/-  0.092 | dlogz: 45.106 >  0.010]
705it [08:25,  1.10it/s, bound: 0 | nc: 2 | ncall: 2032 | eff(%): 34.695 | loglstar:   -inf < 22.861 <    inf | logz: 18.220 +/-  0.092 | dlogz: 45.049 >  0.010]
706it [08:28,  1.43s/it, bound: 0 | nc: 8 | ncall: 2040 | eff(%): 34.608 | loglstar:   -inf < 22.882 <    inf | logz: 18.270 +/-  0.092 | dlogz: 44.995 >  0.010]
707it [08:31,  1.98s/it, bound: 0 | nc: 10 | ncall: 2050 | eff(%): 34.488 | loglstar:   -inf < 22.894 <    inf | logz: 18.318 +/-  0.091 | dlogz: 44.943 >  0.010]
708it [08:33,  1.98s/it, bound: 0 | nc: 6 | ncall: 2056 | eff(%): 34.436 | loglstar:   -inf < 22.919 <    inf | logz: 18.365 +/-  0.091 | dlogz: 44.893 >  0.010] 
709it [08:34,  1.68s/it, bound: 0 | nc: 3 | ncall: 2059 | eff(%): 34.434 | loglstar:   -inf < 22.935 <    inf | logz: 18.410 +/-  0.091 | dlogz: 44.844 >  0.010]
710it [08:35,  1.38s/it, bound: 0 | nc: 2 | ncall: 2061 | eff(%): 34.449 | loglstar:   -inf < 22.987 <    inf | logz: 18.455 +/-  0.090 | dlogz: 44.797 >  0.010]Submitted batch job 37223281

711it [08:37,  1.65s/it, bound: 0 | nc: 7 | ncall: 2068 | eff(%): 34.381 | loglstar:   -inf < 23.021 <    inf | logz: 18.500 +/-  0.090 | dlogz: 44.750 >  0.010]Submitted batch job 37223282
Submitted batch job 37223286

712it [08:39,  1.65s/it, bound: 0 | nc: 5 | ncall: 2073 | eff(%): 34.346 | loglstar:   -inf < 23.023 <    inf | logz: 18.543 +/-  0.090 | dlogz: 44.704 >  0.010]
713it [08:41,  1.75s/it, bound: 0 | nc: 6 | ncall: 2079 | eff(%): 34.295 | loglstar:   -inf < 23.044 <    inf | logz: 18.585 +/-  0.090 | dlogz: 44.658 >  0.010]
714it [08:42,  1.52s/it, bound: 0 | nc: 3 | ncall: 2082 | eff(%): 34.294 | loglstar:   -inf < 23.060 <    inf | logz: 18.626 +/-  0.089 | dlogz: 44.614 >  0.010]Submitted batch job 37223288

715it [08:47,  2.45s/it, bound: 0 | nc: 14 | ncall: 2096 | eff(%): 34.113 | loglstar:   -inf < 23.070 <    inf | logz: 18.666 +/-  0.089 | dlogz: 44.571 >  0.010]
716it [08:47,  1.91s/it, bound: 0 | nc: 2 | ncall: 2098 | eff(%): 34.128 | loglstar:   -inf < 23.073 <    inf | logz: 18.704 +/-  0.089 | dlogz: 44.529 >  0.010] 
