Starting batch job
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
M_i<=-20.0
Pixels masked by MC but not already by selfunc: 2468
G20.5_zmin0.0zmax1.0_Lmax-20.0: 0.33              218365 vs 324336
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:288: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
49it [00:16,  2.98it/s, bound: 0 | nc: 1 | ncall: 550 | eff(%):  8.909 | loglstar:   -inf < -380.081 <    inf | logz: -386.270 +/-  0.108 | dlogz: 436.365 >  0.010]
50it [00:17,  2.99it/s, bound: 0 | nc: 1 | ncall: 551 | eff(%):  9.074 | loglstar:   -inf < -379.982 <    inf | logz: -385.614 +/-  0.104 | dlogz: 435.139 >  0.010]
51it [00:17,  2.99it/s, bound: 0 | nc: 1 | ncall: 552 | eff(%):  9.239 | loglstar:   -inf < -379.941 <    inf | logz: -385.198 +/-  0.100 | dlogz: 434.481 >  0.010]
52it [00:17,  3.00it/s, bound: 0 | nc: 1 | ncall: 553 | eff(%):  9.403 | loglstar:   -inf < -376.790 <    inf | logz: -383.547 +/-  0.110 | dlogz: 434.064 >  0.010]
53it [00:18,  3.00it/s, bound: 0 | nc: 1 | ncall: 554 | eff(%):  9.567 | loglstar:   -inf < -375.336 <    inf | logz: -381.921 +/-  0.109 | dlogz: 432.410 >  0.010]
54it [00:19,  1.88it/s, bound: 0 | nc: 3 | ncall: 557 | eff(%):  9.695 | loglstar:   -inf < -372.044 <    inf | logz: -378.969 +/-  0.115 | dlogz: 430.782 >  0.010]
55it [00:19,  2.12it/s, bound: 0 | nc: 1 | ncall: 558 | eff(%):  9.857 | loglstar:   -inf < -371.090 <    inf | logz: -377.516 +/-  0.109 | dlogz: 427.828 >  0.010]
56it [00:19,  2.33it/s, bound: 0 | nc: 1 | ncall: 559 | eff(%): 10.018 | loglstar:   -inf < -370.561 <    inf | logz: -376.604 +/-  0.105 | dlogz: 426.373 >  0.010]
57it [00:20,  2.49it/s, bound: 0 | nc: 1 | ncall: 560 | eff(%): 10.179 | loglstar:   -inf < -370.555 <    inf | logz: -376.042 +/-  0.102 | dlogz: 425.459 >  0.010]
58it [00:20,  2.62it/s, bound: 0 | nc: 1 | ncall: 561 | eff(%): 10.339 | loglstar:   -inf < -367.486 <    inf | logz: -374.277 +/-  0.110 | dlogz: 424.895 >  0.010]
59it [00:20,  2.72it/s, bound: 0 | nc: 1 | ncall: 562 | eff(%): 10.498 | loglstar:   -inf < -364.980 <    inf | logz: -371.836 +/-  0.113 | dlogz: 423.128 >  0.010]
60it [00:21,  2.79it/s, bound: 0 | nc: 1 | ncall: 563 | eff(%): 10.657 | loglstar:   -inf < -361.712 <    inf | logz: -368.660 +/-  0.116 | dlogz: 420.685 >  0.010]
61it [00:21,  2.85it/s, bound: 0 | nc: 1 | ncall: 564 | eff(%): 10.816 | loglstar:   -inf < -361.221 <    inf | logz: -367.428 +/-  0.108 | dlogz: 417.507 >  0.010]
62it [00:21,  2.89it/s, bound: 0 | nc: 1 | ncall: 565 | eff(%): 10.973 | loglstar:   -inf < -360.283 <    inf | logz: -366.489 +/-  0.105 | dlogz: 416.273 >  0.010]
63it [00:22,  2.92it/s, bound: 0 | nc: 1 | ncall: 566 | eff(%): 11.131 | loglstar:   -inf < -360.081 <    inf | logz: -365.810 +/-  0.102 | dlogz: 415.332 >  0.010]
64it [00:22,  2.94it/s, bound: 0 | nc: 1 | ncall: 567 | eff(%): 11.287 | loglstar:   -inf < -358.762 <    inf | logz: -364.985 +/-  0.103 | dlogz: 414.651 >  0.010]
65it [00:23,  2.29it/s, bound: 0 | nc: 2 | ncall: 569 | eff(%): 11.424 | loglstar:   -inf < -356.109 <    inf | logz: -362.940 +/-  0.111 | dlogz: 413.824 >  0.010]
66it [00:24,  1.66it/s, bound: 0 | nc: 3 | ncall: 572 | eff(%): 11.538 | loglstar:   -inf < -355.427 <    inf | logz: -361.711 +/-  0.107 | dlogz: 411.777 >  0.010]
67it [00:24,  1.61it/s, bound: 0 | nc: 2 | ncall: 574 | eff(%): 11.672 | loglstar:   -inf < -354.829 <    inf | logz: -360.869 +/-  0.104 | dlogz: 410.546 >  0.010]
68it [00:25,  1.87it/s, bound: 0 | nc: 1 | ncall: 575 | eff(%): 11.826 | loglstar:   -inf < -352.562 <    inf | logz: -359.279 +/-  0.109 | dlogz: 409.702 >  0.010]
69it [00:25,  2.11it/s, bound: 0 | nc: 1 | ncall: 576 | eff(%): 11.979 | loglstar:   -inf < -351.900 <    inf | logz: -358.143 +/-  0.106 | dlogz: 408.110 >  0.010]
70it [00:25,  2.32it/s, bound: 0 | nc: 1 | ncall: 577 | eff(%): 12.132 | loglstar:   -inf < -350.203 <    inf | logz: -356.785 +/-  0.108 | dlogz: 406.972 >  0.010]
71it [00:26,  2.49it/s, bound: 0 | nc: 1 | ncall: 578 | eff(%): 12.284 | loglstar:   -inf < -348.127 <    inf | logz: -354.895 +/-  0.111 | dlogz: 405.612 >  0.010]
72it [00:26,  2.63it/s, bound: 0 | nc: 1 | ncall: 579 | eff(%): 12.435 | loglstar:   -inf < -344.755 <    inf | logz: -351.730 +/-  0.116 | dlogz: 403.720 >  0.010]
73it [00:27,  2.15it/s, bound: 0 | nc: 2 | ncall: 581 | eff(%): 12.565 | loglstar:   -inf < -343.859 <    inf | logz: -350.298 +/-  0.109 | dlogz: 400.553 >  0.010]
