Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
/home/groups/tabel/mahlet/pyccl-env/lib/python3.12/site-packages/mcfit/kernels.py:10: SyntaxWarning: invalid escape sequence '\l'
  """Real deriv is wrt :math:`t`, complex deriv is wrt :math:`\ln t`"""
$M_i\geq-26.0, 0.0<z \leq1.0$
Pixels masked by MC but not already by selfunc: 131
G20.5_zmin0.0zmax1.0_Lmax-26.0: 0.52              6079 vs 12557
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
22it [00:11,  1.57it/s, bound: 0 | nc: 1 | ncall: 525 | eff(%):  4.190 | loglstar:   -inf < -325.108 <    inf | logz: -332.059 +/-  0.118 | dlogz: 330.638 >  0.010]
23it [00:11,  1.73it/s, bound: 0 | nc: 1 | ncall: 526 | eff(%):  4.373 | loglstar:   -inf < -323.707 <    inf | logz: -330.260 +/-  0.110 | dlogz: 322.839 >  0.010]
24it [00:11,  1.85it/s, bound: 0 | nc: 1 | ncall: 527 | eff(%):  4.554 | loglstar:   -inf < -320.810 <    inf | logz: -327.637 +/-  0.113 | dlogz: 321.038 >  0.010]
25it [00:12,  1.95it/s, bound: 0 | nc: 1 | ncall: 528 | eff(%):  4.735 | loglstar:   -inf < -313.904 <    inf | logz: -320.860 +/-  0.118 | dlogz: 318.441 >  0.010]
26it [00:12,  2.03it/s, bound: 0 | nc: 1 | ncall: 529 | eff(%):  4.915 | loglstar:   -inf < -310.401 <    inf | logz: -317.302 +/-  0.116 | dlogz: 311.662 >  0.010]
27it [00:13,  2.09it/s, bound: 0 | nc: 1 | ncall: 530 | eff(%):  5.094 | loglstar:   -inf < -310.242 <    inf | logz: -316.189 +/-  0.107 | dlogz: 308.102 >  0.010]
28it [00:13,  2.11it/s, bound: 0 | nc: 1 | ncall: 531 | eff(%):  5.273 | loglstar:   -inf < -304.430 <    inf | logz: -311.382 +/-  0.117 | dlogz: 306.987 >  0.010]
29it [00:14,  2.12it/s, bound: 0 | nc: 1 | ncall: 532 | eff(%):  5.451 | loglstar:   -inf < -303.284 <    inf | logz: -309.755 +/-  0.110 | dlogz: 302.179 >  0.010]
30it [00:14,  2.13it/s, bound: 0 | nc: 1 | ncall: 533 | eff(%):  5.629 | loglstar:   -inf < -300.313 <    inf | logz: -307.153 +/-  0.114 | dlogz: 300.549 >  0.010]
31it [00:15,  2.14it/s, bound: 0 | nc: 1 | ncall: 534 | eff(%):  5.805 | loglstar:   -inf < -299.030 <    inf | logz: -305.534 +/-  0.109 | dlogz: 297.946 >  0.010]
32it [00:15,  2.14it/s, bound: 0 | nc: 1 | ncall: 535 | eff(%):  5.981 | loglstar:   -inf < -298.680 <    inf | logz: -304.612 +/-  0.105 | dlogz: 296.325 >  0.010]
33it [00:16,  2.15it/s, bound: 0 | nc: 1 | ncall: 536 | eff(%):  6.157 | loglstar:   -inf < -296.700 <    inf | logz: -303.249 +/-  0.107 | dlogz: 295.400 >  0.010]
34it [00:16,  2.16it/s, bound: 0 | nc: 1 | ncall: 537 | eff(%):  6.331 | loglstar:   -inf < -295.463 <    inf | logz: -301.887 +/-  0.107 | dlogz: 294.035 >  0.010]
