Starting batch job
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:326: SyntaxWarning: invalid escape sequence '\g'
  print('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]))
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:409: SyntaxWarning: invalid escape sequence '\g'
  fig.suptitle('$M_i\geq{}, {:.1f}<z \leq{:.1f}$'.format(L_bins[args.i], z_bins[args.j], z_bins[args.j+1]), fontsize = 20, y = 1, x = 0.375)
$M_i\geq-26.0, 3.0<z \leq4.6$
Pixels masked by MC but not already by selfunc: 307
G20.5_zmin3.0zmax4.6_Lmax-26.0: 0.23              28043 vs 36458
running new sampler
/oak/stanford/orgs/kipac/users/mahlet/quaia_bias/scripts/sample.py:145: RuntimeWarning: invalid value encountered in power
  n_m = fduty*((bins_m-M0)/M1)**alpha

0it [00:00, ?it/s]
59it [00:20,  2.34it/s, bound: 0 | nc: 2 | ncall: 562 | eff(%): 10.498 | loglstar:   -inf < -171.752 <    inf | logz: -178.777 +/-  0.118 | dlogz: 203.872 >  0.010]
60it [00:20,  2.52it/s, bound: 0 | nc: 1 | ncall: 563 | eff(%): 10.657 | loglstar:   -inf < -171.459 <    inf | logz: -177.573 +/-  0.109 | dlogz: 193.726 >  0.010]
61it [00:21,  2.10it/s, bound: 0 | nc: 2 | ncall: 565 | eff(%): 10.796 | loglstar:   -inf < -170.295 <    inf | logz: -176.586 +/-  0.106 | dlogz: 192.520 >  0.010]
62it [00:21,  2.32it/s, bound: 0 | nc: 1 | ncall: 566 | eff(%): 10.954 | loglstar:   -inf < -168.203 <    inf | logz: -174.911 +/-  0.110 | dlogz: 191.531 >  0.010]
63it [00:22,  2.50it/s, bound: 0 | nc: 1 | ncall: 567 | eff(%): 11.111 | loglstar:   -inf < -162.573 <    inf | logz: -169.598 +/-  0.118 | dlogz: 189.854 >  0.010]
64it [00:22,  2.64it/s, bound: 0 | nc: 1 | ncall: 568 | eff(%): 11.268 | loglstar:   -inf < -161.782 <    inf | logz: -168.170 +/-  0.109 | dlogz: 184.540 >  0.010]
65it [00:22,  2.75it/s, bound: 0 | nc: 1 | ncall: 569 | eff(%): 11.424 | loglstar:   -inf < -160.594 <    inf | logz: -166.996 +/-  0.107 | dlogz: 183.109 >  0.010]
66it [00:23,  2.83it/s, bound: 0 | nc: 1 | ncall: 570 | eff(%): 11.579 | loglstar:   -inf < -157.100 <    inf | logz: -164.056 +/-  0.115 | dlogz: 181.933 >  0.010]
67it [00:23,  2.89it/s, bound: 0 | nc: 1 | ncall: 571 | eff(%): 11.734 | loglstar:   -inf < -155.722 <    inf | logz: -162.340 +/-  0.110 | dlogz: 178.991 >  0.010]
68it [00:23,  2.28it/s, bound: 0 | nc: 2 | ncall: 573 | eff(%): 11.867 | loglstar:   -inf < -144.146 <    inf | logz: -151.190 +/-  0.119 | dlogz: 177.274 >  0.010]
69it [00:24,  1.66it/s, bound: 0 | nc: 3 | ncall: 576 | eff(%): 11.979 | loglstar:   -inf < -136.357 <    inf | logz: -143.402 +/-  0.119 | dlogz: 166.121 >  0.010]
70it [00:25,  1.92it/s, bound: 0 | nc: 1 | ncall: 577 | eff(%): 12.132 | loglstar:   -inf < -135.612 <    inf | logz: -141.991 +/-  0.110 | dlogz: 158.331 >  0.010]
71it [00:25,  2.16it/s, bound: 0 | nc: 1 | ncall: 578 | eff(%): 12.284 | loglstar:   -inf < -132.859 <    inf | logz: -139.736 +/-  0.113 | dlogz: 156.919 >  0.010]
72it [00:25,  2.37it/s, bound: 0 | nc: 1 | ncall: 579 | eff(%): 12.435 | loglstar:   -inf < -130.201 <    inf | logz: -137.110 +/-  0.114 | dlogz: 154.661 >  0.010]
73it [00:26,  2.54it/s, bound: 0 | nc: 1 | ncall: 580 | eff(%): 12.586 | loglstar:   -inf < -126.655 <    inf | logz: -133.649 +/-  0.116 | dlogz: 152.033 >  0.010]
